data_extracao;codigo;nome;telefone;logradouro;numero;latitude;longitude
10/03/2020 01:58;355;JOÃO INACIO X CEARA; ;R DR JOAO INACIO ;1366;-30,00314697;-51,19235722
10/03/2020 01:58;466;FRANCISCO RODOLFO SIMCH X JOAO LUDERIZT; ;AV ENG FRANCISCO RODOLFO SIMCH ;117;-30,00673942;-51,13492499
10/03/2020 01:58;262;NOVOTEL;3331-1600 ;AV SOLEDADE ;555;-30,03276677;-51,17911807
10/03/2020 01:58;366;LUCAS DE OLIVEIRA X PEDRO IVO; ;AV CEL LUCAS DE OLIVEIRA ;845;-30,02969858;-51,19457421
10/03/2020 01:58;433;SETE DE SETEMBRO X TRAV ARAÚJO RIBEIRO; ;R SETE DE SETEMBRO ;601;-30,03072422;-51,23443207
10/03/2020 01:58;213;BORGES DE MEDEIROS X DEMETRIO RIBEIRO; ;AV BORGES DE MEDEIROS ;1057;-30,03603581;-51,22814971
10/03/2020 01:58;222;LUIZ AFONSO X JOSE DO PATROCINIO; ;R LUIZ AFONSO ;395;-30,04008546;-51,22285335
10/03/2020 01:58;258;HOTEL PLAZA SÃO RAFAEL;3227-8014 ;AV ALBERTO BINS ;514;-30,02799622;-51,22142972
10/03/2020 01:58;283;AUGUSTO SEVERO;3362-1213 ;R AUGUSTO SEVERO ;15;-30,00719254;-51,18886823
10/03/2020 01:58;27;ERNESTO DA FONTOURA X BENJAMIN CONSTANT;3342-9714 ;R ERNESTO FONTOURA ;1510;-30,01050975;-51,19313979
10/03/2020 01:58;69;TRT PRAIA DE BELAS;3231-5195 ;R MARCILIO DIAS ;200;-30,04901778;-51,2277999
10/03/2020 01:58;177;ERECHIM X NONOAI; ;R ERECHIM ;782;-30,08891856;-51,21727921
10/03/2020 01:58;229;PRAÇA MARECHAL DEODORO(TEATRO SÃO PEDRO); ;R GEN CAMARA ;521;-30,0318817;-51,23015917
10/03/2020 01:58;270;CABRAL;3379-1744 ;R CABRAL ;15;-30,03308343;-51,20822586
10/03/2020 01:58;372;MARILAND X AMERICA; ;AV MARILAND ;431;-30,01856392;-51,1942766
10/03/2020 01:58;393;SÃO MANOEL X LEOPOLDO BIER; ;R SAO MANOEL ;1213;-30,04468322;-51,20456379
10/03/2020 01:58;17;BOURBON ASSIS BRASIL;3343-5607 ;AV ASSIS BRASIL ;200;-30,00814565;-51,18398387
10/03/2020 01:58;76;JERÔNIMO DE ORNELAS X JACINTO GOMES;3223-2512 ;AV JERONIMO DE ORNELAS ;601;-30,04030566;-51,20936089
10/03/2020 01:58;415;BERNARDINO AMORIM X SATURNINO VANDERLOTE; ;AV BERNARDINO SILVEIRA DE AMORIM ;3450;-30,00578796;-51,09686702
10/03/2020 01:58;57;PRAÇA GUIA LOPES (TERESÓPOLIS - FIM DA LINHA);3336-3342 ; ;0;-30,08106774;-51,21223105
10/03/2020 01:58;224;SHOPPING NOVA OLARIA; ;R GEN LIMA E SILVA ;776;-30,03928985;-51,22010299
10/03/2020 01:58;333;CINCO DE NOVEMBRO X SEPÉ TIARAJÚ; ;AV CINCO DE NOVEMBRO ;30;-30,0755953;-51,21446975
10/03/2020 01:58;41;PRAIA DE BELAS SHOPPING;(51) 3231-4433;AV BORGES DE MEDEIROS ;2700;-30,05115755;-51,22970631
10/03/2020 01:58;410;24 DE OUTUBRO X MARILAND; ;R VINTE QUATRO DE OUTUBRO ;1427;-30,02221704;-51,19431182
10/03/2020 01:58;119;PANAMERICANA X CATAMARCA;3344-4490 ;AV PANAMERICANA ;104;-30,0095878;-51,15122584
10/03/2020 01:58;96;ÁLVARO ALVIM (HCPA);3331-0524 ;RUA PROF. ÁLVARO ALVIM ;436;-30,03737725;-51,19763946
10/03/2020 01:58;444;ASSIS BRASIL (FORO SARANDI); ;AV. ASSIS BRASIL ;7625;-29,98688513;-51,12107032
10/03/2020 01:58;337;FARRAPOS X CONDE DE PORTO ALEGRE; ;AV FARRAPOS ;1962;-30,01493051;-51,20560239
10/03/2020 01:58;348;GIORDANO BRUNO X PROTÁSIO ALVES; ;R GIORDANO BRUNO ;388;-30,03717544;-51,20646251
10/03/2020 01:58;208;ANDRADAS X JOÃO MANOEL; ;R GEN JOAO MANOEL;290;-30,03123636;-51,23344543
10/03/2020 01:58;402;ANEXO Hospital Moinhos de Ventos; ;R TIRADENTES ;333;-30,0244542;-51,20817979
10/03/2020 01:58;187;ORFANOTROFIO (UNIVERSIDADE UNIRITTER); ;R ORFANOTROFIO ;570;-30,0806465;-51,21933911
10/03/2020 01:58;209;SIQUEIRA CAMPOS X JOÃO MANOEL; ;R SIQUEIRA CAMPOS ;735;-30,02973972;-51,23437621
10/03/2020 01:58;232;CAPITÃO MONTANHA X SIQUEIRA CAMPOS; ;R CAPITÃO MONTANHA ;37;-30,02855487;-51,2323768
10/03/2020 01:58;6;BARRA SHOPPING SUL;3266-6514 ;AV DIARIO DE NOTICIAS ;0;-30,0812041;-51,24638351
10/03/2020 01:58;65;HOSPITAL MÃE DE DEUS;3233-9531 ;R JOSE DE ALENCAR ;286;-30,05962507;-51,22882763
10/03/2020 01:58;251;JUSTIÇA FEDERAL (ANEXO); ;R OTAVIO FRANCISCO CARUSO DA ROCHA ;600;-30,04010069;-51,23477796
10/03/2020 01:58;166;CEL MASSOT X CEL ARISTIDES; ;R CEL MASSOT ;400;-30,10026654;-51,24466976
10/03/2020 01:58;269;HOSPITAL SANTA CASA (ÁREA INTERNA);32125526;AV INDEPENDENCIA ;155;-30,02955912;-51,21992694
10/03/2020 01:58;335;FARIA SANTOS X ARTIGAS; ;R FARIA SANTOS ;589;-30,04808937;-51,19122567
10/03/2020 01:58;21;JOÃO PESSOA (CENTRO COMERCIAL);3223-7447 ;AV JOAO PESSOA ;1788;-30,04536202;-51,21307632
